iter	Passed	Remaining
452	11603	14011
453	11636	13994
454	11669	13977
455	11699	13957
456	11733	13941
457	11773	13932
458	11804	13913
459	11836	13894
460	11866	13874
461	11899	13856
462	11930	13836
463	11958	13814
464	11984	13788
465	12012	13764
466	12039	13740
467	12067	13717
468	12094	13693
469	12120	13668
470	12153	13649
471	12182	13627
472	12211	13605
473	12239	13582
474	12266	13558
475	12294	13534
476	12323	13511
477	12350	13487
478	12378	13463
479	12408	13442
480	12437	13420
481	12473	13405
482	12507	13387
483	12544	13374
484	12571	13349
485	12607	13333
486	12638	13313
487	12668	13291
488	12699	13270
489	12730	13249
490	12761	13229
491	12792	13208
492	12819	13183
493	12850	13162
494	12879	13139
495	12908	13116
496	12941	13097
497	12973	13078
498	13008	13060
499	13045	13045
500	13085	13033
501	13122	13018
502	13160	13003
503	13206	12996
504	13244	12981
505	13280	12965
506	13314	12946
507	13347	12927
508	13378	12905
509	13407	12881
510	13438	12859
511	13468	12837
512	13498	12814
513	13528	12791
514	13557	12767
515	13590	12747
516	13629	12733
517	13668	12718
518	13698	12695
519	13735	12678
520	13765	12655
521	13804	12640
522	13834	12617
523	13890	12617
524	13991	12658
525	14058	12668
526	14112	12666
527	14173	12670
528	14215	12656
529	14259	12645
530	14303	12633
531	14352	12625
532	14393	12611
533	14437	12598
534	14475	12581
535	14508	12559
536	14537	12533
537	14569	12511
538	14624	12508
539	14659	12488
540	14693	12466
541	14725	12443
542	14759	12421
543	14794	12401
544	14832	12382
545	14870	12364
546	14905	12344
547	14939	12322
548	14971	12299
549	15003	12275
550	15038	12254
551	15071	12231
552	15104	12209
553	15139	12188
554	15174	12166
555	15212	12148
556	15247	12127
557	15279	12102
558	15313	12081
559	15345	12057
560	15376	12032
561	15407	12007
562	15436	11981
563	15469	11958
564	15500	11934
565	15529	11907
566	15559	11882
567	15593	11859
568	15634	11842
569	15669	11820
570	15703	11798
571	15734	11773
572	15768	11750
573	15798	11725
574	15829	11699
575	15856	11672
576	15887	11647
577	15915	11619
578	15945	11594
579	15974	11567
580	16008	11544
581	16041	11521
582	16072	11496
583	16102	11470
584	16129	11442
585	16158	11415
586	16184	11387
587	16213	11360
588	16241	11333
589	16269	11306
590	16298	11278
591	16325	11251
592	16350	11222
593	16376	11193
594	16401	11164
595	16427	11135
596	16452	11106
597	16479	11078
598	16504	11048
599	16530	11020
600	16561	10994
601	16591	10968
602	16627	10947
603	16661	10923
604	16692	10898
605	16729	10876
606	16764	10854
607	16792	10826
608	16819	10798
609	16846	10770
610	16871	10741
611	16896	10712
612	16921	10683
613	16945	10652
614	16969	10623
615	16992	10592
616	17015	10562
617	17039	10532
618	17063	10502
619	17088	10473
620	17112	10443
621	17134	10412
622	17160	10384
623	17183	10353
624	17207	10324
625	17230	10294
626	17254	10264
627	17279	10235
628	17303	10206
629	17327	10176
630	17352	10147
631	17377	10118
632	17400	10088
633	17423	10058
634	17446	10028
635	17469	9998
636	17493	9968
637	17516	9939
638	17540	9909
639	17563	9879
640	17586	9849
641	17609	9819
642	17635	9791
643	17659	9762
644	17684	9733
645	17707	9703
646	17729	9673
647	17758	9646
648	17781	9616
649	17805	9587
650	17828	9557
651	17853	9529
652	17876	9499
653	17900	9470
654	17924	9441
655	17947	9411
656	17971	9382
657	17994	9352
658	18017	9323
659	18040	9293
660	18066	9265
661	18090	9236
662	18114	9207
663	18138	9178
664	18164	9150
665	18187	9120
666	18213	9093
667	18239	9065
668	18263	9036
669	18290	9008
670	18316	8980
671	18344	8954
672	18370	8926
673	18398	8898
674	18421	8869
675	18445	8840
676	18469	8811
677	18493	8783
678	18516	8753
679	18540	8724
680	18564	8696
681	18586	8666
682	18609	8637
683	18632	8607
684	18657	8579
685	18681	8550
686	18704	8521
687	18727	8492
688	18755	8465
689	18779	8436
690	18801	8407
691	18825	8378
692	18850	8350
693	18874	8322
694	18898	8293
695	18922	8265
696	18949	8237
697	18975	8210
698	18999	8181
699	19023	8152
700	19046	8124
701	19072	8096
702	19098	8068
703	19123	8040
704	19145	8011
705	19169	7982
706	19191	7953
707	19214	7924
708	19236	7895
709	19259	7866
710	19284	7838
711	19308	7810
712	19332	7781
713	19355	7753
714	19381	7725
715	19405	7697
716	19428	7668
717	19451	7639
718	19474	7611
719	19497	7582
720	19519	7553
721	19542	7524
722	19584	7503
723	19608	7475
724	19631	7446
725	19655	7418
726	19680	7390
727	19703	7361
728	19727	7333
729	19757	7307
730	19779	7278
731	19801	7249
732	19824	7221
733	19848	7193
734	19873	7165
735	19897	7137
736	19922	7109
737	19947	7081
738	19972	7053
739	19995	7025
740	20017	6996
741	20040	6968
742	20064	6940
743	20088	6912
744	20113	6884
745	20136	6856
746	20159	6827
747	20183	6799
748	20207	6771
749	20230	6743
750	20253	6715
751	20276	6686
752	20299	6658
753	20322	6630
754	20348	6603
755	20371	6574
756	20394	6546
757	20418	6518
758	20441	6490
759	20465	6462
760	20489	6435
761	20513	6407
762	20538	6379
763	20566	6352
764	20593	6326
765	20619	6299
766	20643	6271
767	20667	6243
768	20692	6215
769	20716	6188
770	20741	6160
771	20765	6132
772	20787	6104
773	20810	6076
774	20837	6049
775	20861	6021
776	20883	5993
777	20907	5965
778	20930	5938
779	20955	5910
780	20980	5883
781	21004	5855
782	21027	5827
783	21050	5799
784	21072	5771
785	21095	5743
786	21119	5715
787	21144	5688
788	21167	5660
789	21191	5633
790	21214	5605
791	21238	5577
792	21264	5550
793	21288	5523
794	21313	5495
795	21339	5468
796	21364	5441
797	21389	5414
798	21416	5387
799	21443	5360
800	21469	5333
801	21496	5307
802	21523	5280
803	21552	5254
804	21578	5227
805	21606	5200
806	21634	5174
807	21661	5147
808	21688	5120
809	21715	5093
810	21742	5067
811	21773	5041
812	21801	5014
813	21829	4988
814	21857	4961
815	21885	4935
816	21913	4908
817	21940	4881
818	21969	4855
819	21997	4828
820	22026	4802
821	22056	4776
822	22085	4749
823	22113	4723
824	22143	4697
825	22175	4671
826	22204	4644
827	22233	4618
828	22264	4592
829	22294	4566
830	22325	4540
831	22355	4514
832	22384	4487
833	22415	4461
834	22445	4435
835	22474	4408
836	22503	4382
837	22539	4357
838	22572	4331
839	22604	4305
840	22634	4279
841	22662	4252
842	22691	4226
843	22720	4199
844	22750	4173
845	22782	4147
846	22813	4121
847	22844	4094
848	22874	4068
849	22903	4041
850	22933	4015
851	22962	3988
852	23005	3964
853	23049	3940
854	23092	3916
855	23124	3890
856	23157	3864
857	23194	3838
858	23227	3812
859	23259	3786
860	23292	3760
861	23321	3733
862	23353	3707
863	23384	3680
864	23415	3654
865	23446	3628
866	23477	3601
867	23509	3575
868	23538	3548
869	23569	3521
870	23602	3495
871	23634	3469
872	23664	3442
873	23693	3415
874	23724	3389
875	23753	3362
876	23786	3336
877	23816	3309
878	23845	3282
879	23874	3255
880	23903	3228
881	23933	3201
882	23963	3175
883	23992	3148
884	24020	3121
885	24049	3094
886	24079	3067
887	24108	3040
888	24138	3013
889	24167	2987
890	24196	2960
891	24225	2933
892	24253	2906
893	24282	2879
894	24310	2852
895	24337	2824
896	24367	2798
897	24397	2771
898	24426	2744
899	24456	2717
900	24486	2690
901	24517	2663
902	24550	2637
903	24584	2610
904	24613	2583
905	24643	2556
906	24672	2529
907	24701	2502
908	24732	2476
909	24761	2448
910	24794	2422
911	24823	2395
912	24853	2368
913	24884	2341
914	24912	2314
915	24942	2287
916	24972	2260
917	25000	2233
918	25029	2206
919	25056	2178
920	25085	2151
921	25114	2124
922	25144	2097
923	25177	2070
924	25207	2043
925	25236	2016
926	25266	1989
927	25297	1962
928	25326	1935
929	25355	1908
930	25387	1881
931	25418	1854
932	25447	1827
933	25478	1800
934	25513	1773
935	25553	1747
936	25586	1720
937	25616	1693
938	25647	1666
939	25677	1638
940	25708	1611
941	25740	1584
942	25774	1557
943	25807	1530
944	25836	1503
945	25866	1476
946	25895	1449
947	25924	1422
948	25953	1394
949	25982	1367
950	26011	1340
951	26041	1312
952	26069	1285
953	26099	1258
954	26128	1231
955	26158	1203
956	26188	1176
957	26220	1149
958	26250	1122
959	26280	1095
960	26310	1067
961	26339	1040
962	26371	1013
963	26401	985
964	26429	958
965	26457	931
966	26487	903
967	26516	876
968	26543	849
969	26572	821
970	26602	794
971	26631	767
972	26661	739
973	26693	712
974	26725	685
975	26756	657
976	26797	630
977	26829	603
978	26865	576
979	26903	549
980	26937	521
981	26972	494
982	27007	467
983	27043	439
984	27073	412
985	27104	384
986	27136	357
987	27167	329
988	27197	302
989	27229	275
990	27261	247
991	27292	220
992	27325	192
993	27359	165
994	27390	137
995	27421	110
996	27452	82
997	27484	55
998	27525	27
999	27560	0
