iter	Passed	Remaining
479	718	778
480	720	777
481	721	775
482	723	774
483	724	772
484	726	771
485	728	770
486	729	768
487	731	767
488	734	767
489	735	765
490	737	764
491	738	763
492	742	763
493	744	762
494	746	761
495	751	763
496	753	762
497	755	761
498	757	760
499	758	758
500	759	756
501	760	754
502	763	754
503	765	753
504	766	751
505	767	749
506	769	748
507	771	747
508	772	745
509	774	743
510	775	741
511	776	740
512	778	738
513	780	738
514	782	736
515	785	736
516	787	735
517	789	734
518	791	733
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	801	722
526	803	720
527	804	719
528	805	717
529	807	715
530	809	715
531	811	714
532	813	712
533	814	710
534	816	709
535	818	708
536	819	706
537	821	705
538	822	703
539	825	702
540	826	701
541	828	700
542	829	698
543	831	697
544	833	695
545	834	693
546	836	692
547	838	691
548	839	689
549	841	688
550	843	687
551	845	685
552	846	684
553	848	683
554	850	681
555	851	679
556	852	678
557	854	676
558	857	676
559	858	674
560	859	672
561	861	671
562	862	669
563	865	668
564	866	666
565	867	665
566	868	663
567	870	661
568	872	660
569	873	658
570	874	656
571	876	655
572	877	653
573	879	652
574	880	650
575	881	648
576	883	647
577	884	645
578	886	644
579	887	642
580	888	640
581	889	639
582	891	637
583	892	635
584	894	634
585	895	632
586	896	630
587	897	628
588	898	626
589	899	625
590	901	624
591	902	622
592	903	620
593	904	618
594	905	616
595	907	614
596	909	613
597	911	612
598	912	610
599	913	609
600	914	607
601	916	605
602	918	604
603	919	602
604	920	600
605	922	599
606	923	597
607	924	596
608	925	594
609	927	592
610	929	591
611	930	590
612	932	588
613	933	587
614	935	585
615	936	583
616	938	582
617	940	581
618	942	580
619	944	578
620	946	577
621	948	576
622	949	574
623	950	572
624	953	572
625	954	570
626	957	569
627	959	568
628	961	567
629	963	565
630	964	564
631	967	563
632	968	561
633	970	560
634	971	558
635	975	558
636	977	557
637	978	555
638	979	553
639	980	551
640	982	550
641	985	549
642	987	548
643	990	547
644	992	546
645	995	545
646	997	544
647	999	542
648	1000	541
649	1002	539
650	1004	538
651	1006	537
652	1007	535
653	1008	533
654	1009	531
655	1011	530
656	1013	529
657	1015	527
658	1016	526
659	1018	524
660	1020	523
661	1022	521
662	1024	520
663	1026	519
664	1029	518
665	1030	516
666	1031	515
667	1034	514
668	1036	512
669	1037	511
670	1039	509
671	1041	508
672	1042	506
673	1044	505
674	1046	503
675	1047	502
676	1050	501
677	1051	499
678	1053	498
679	1054	496
680	1057	495
681	1058	493
682	1061	492
683	1062	490
684	1064	489
685	1066	488
686	1068	486
687	1069	485
688	1071	483
689	1073	482
690	1075	480
691	1077	479
692	1078	477
693	1080	476
694	1082	475
695	1085	474
696	1088	473
697	1089	471
698	1090	469
699	1093	468
700	1095	467
701	1096	465
702	1098	463
703	1101	462
704	1102	461
705	1103	459
706	1105	458
707	1106	456
708	1108	455
709	1110	453
710	1111	451
711	1113	450
712	1115	449
713	1118	448
714	1121	447
715	1124	445
716	1125	444
717	1126	442
718	1127	440
719	1130	439
720	1131	437
721	1133	436
722	1134	434
723	1136	433
724	1138	431
725	1140	430
726	1142	428
727	1144	427
728	1146	426
729	1148	424
730	1149	423
731	1151	421
732	1153	420
733	1155	418
734	1156	416
735	1158	415
736	1160	414
737	1162	412
738	1163	410
739	1165	409
740	1167	408
741	1169	406
742	1171	405
743	1172	403
744	1174	402
745	1177	400
746	1178	399
747	1180	397
748	1182	396
749	1184	394
750	1185	393
751	1187	391
752	1189	390
753	1190	388
754	1192	387
755	1193	385
756	1196	384
757	1199	382
758	1200	381
759	1201	379
760	1204	378
761	1205	376
762	1207	375
763	1209	373
764	1211	372
765	1214	371
766	1216	369
767	1218	368
768	1220	366
769	1222	365
770	1226	364
771	1228	362
772	1230	361
773	1232	359
774	1234	358
775	1235	356
776	1236	355
777	1238	353
778	1241	352
779	1243	350
780	1244	349
781	1245	347
782	1248	345
783	1250	344
784	1252	342
785	1253	341
786	1255	339
787	1258	338
788	1259	336
789	1262	335
790	1265	334
791	1266	332
792	1268	331
793	1271	329
794	1273	328
795	1274	326
796	1276	325
797	1278	323
798	1279	321
799	1280	320
800	1281	318
801	1283	316
802	1284	315
803	1286	313
804	1287	311
805	1289	310
806	1290	308
807	1292	307
808	1294	305
809	1296	304
810	1297	302
811	1300	301
812	1302	299
813	1303	297
814	1304	296
815	1306	294
816	1309	293
817	1310	291
818	1312	289
819	1313	288
820	1315	286
821	1317	285
822	1319	283
823	1323	282
824	1324	281
825	1326	279
826	1327	277
827	1330	276
828	1331	274
829	1333	273
830	1334	271
831	1335	269
832	1337	268
833	1338	266
834	1340	264
835	1341	263
836	1342	261
837	1343	259
838	1344	258
839	1346	256
840	1347	254
841	1348	253
842	1349	251
843	1350	249
844	1351	247
845	1352	246
846	1354	244
847	1355	242
848	1356	241
849	1356	239
850	1357	237
851	1359	236
852	1360	234
853	1361	232
854	1362	231
855	1363	229
856	1364	227
857	1365	226
858	1367	224
859	1368	222
860	1369	221
861	1369	219
862	1371	217
863	1372	216
864	1374	214
865	1375	212
866	1376	211
867	1378	209
868	1379	207
869	1380	206
870	1381	204
871	1382	202
872	1383	201
873	1385	199
874	1385	197
875	1386	196
876	1387	194
877	1388	192
878	1390	191
879	1391	189
880	1392	188
881	1393	186
882	1394	184
883	1395	183
884	1397	181
885	1398	180
886	1400	178
887	1401	176
888	1404	175
889	1405	173
890	1407	172
891	1411	170
892	1413	169
893	1415	167
894	1416	166
895	1418	164
896	1419	163
897	1422	161
898	1425	160
899	1428	158
900	1430	157
901	1431	155
902	1436	154
903	1438	152
904	1440	151
905	1443	149
906	1445	148
907	1446	146
908	1447	144
909	1449	143
910	1450	141
911	1453	140
912	1456	138
913	1458	137
914	1460	135
915	1462	134
916	1463	132
917	1465	130
918	1466	129
919	1468	127
920	1470	126
921	1475	124
922	1477	123
923	1480	121
924	1484	120
925	1485	118
926	1488	117
927	1489	115
928	1491	113
929	1492	112
930	1493	110
931	1495	109
932	1498	107
933	1499	105
934	1500	104
935	1504	102
936	1506	101
937	1507	99
938	1508	98
939	1510	96
940	1512	94
941	1513	93
942	1514	91
943	1516	89
944	1518	88
945	1519	86
946	1521	85
947	1522	83
948	1525	81
949	1527	80
950	1530	78
951	1532	77
952	1534	75
953	1536	74
954	1537	72
955	1538	70
956	1541	69
957	1542	67
958	1544	66
959	1545	64
960	1547	62
961	1549	61
962	1551	59
963	1552	57
964	1554	56
965	1557	54
966	1558	53
967	1559	51
968	1562	49
969	1563	48
970	1565	46
971	1566	45
972	1568	43
973	1570	41
974	1572	40
975	1573	38
976	1575	37
977	1577	35
978	1579	33
979	1581	32
980	1582	30
981	1584	29
982	1587	27
983	1588	25
984	1590	24
985	1592	22
986	1594	20
987	1595	19
988	1596	17
989	1598	16
990	1600	14
991	1602	12
992	1603	11
993	1605	9
994	1606	8
995	1608	6
996	1610	4
997	1611	3
998	1614	1
999	1616	0
